Epoch [1/30], Train Loss: 0.4744, Val Loss: 0.4798
Epoch [2/30], Train Loss: 0.4492, Val Loss: 0.4728
Epoch [3/30], Train Loss: 0.4217, Val Loss: 0.4629
Epoch [4/30], Train Loss: 0.4084, Val Loss: 0.4413
Epoch [5/30], Train Loss: 0.3974, Val Loss: 0.4105
Epoch [6/30], Train Loss: 0.3833, Val Loss: 0.3821
Epoch [7/30], Train Loss: 0.3795, Val Loss: 0.3597
Epoch [8/30], Train Loss: 0.3698, Val Loss: 0.3285
Epoch [9/30], Train Loss: 0.3602, Val Loss: 0.3389
Epoch [10/30], Train Loss: 0.3622, Val Loss: 0.3198
Epoch [11/30], Train Loss: 0.3559, Val Loss: 0.3732
Epoch [12/30], Train Loss: 0.3458, Val Loss: 0.3125
Epoch [13/30], Train Loss: 0.3385, Val Loss: 0.3066
Epoch [14/30], Train Loss: 0.3392, Val Loss: 0.2962
Epoch [15/30], Train Loss: 0.3271, Val Loss: 0.3087
Epoch [16/30], Train Loss: 0.3220, Val Loss: 0.2894
Epoch [17/30], Train Loss: 0.3132, Val Loss: 0.3027
Epoch [18/30], Train Loss: 0.3042, Val Loss: 0.2819
Epoch [19/30], Train Loss: 0.3075, Val Loss: 0.2731
Epoch [20/30], Train Loss: 0.2914, Val Loss: 0.2807
Epoch [21/30], Train Loss: 0.2849, Val Loss: 0.2654
Epoch [22/30], Train Loss: 0.2830, Val Loss: 0.2602
Epoch [23/30], Train Loss: 0.2817, Val Loss: 0.2569
Epoch [24/30], Train Loss: 0.2687, Val Loss: 0.2519
Epoch [25/30], Train Loss: 0.2699, Val Loss: 0.2410
Epoch [26/30], Train Loss: 0.2703, Val Loss: 0.2374
Epoch [27/30], Train Loss: 0.2618, Val Loss: 0.2532
Epoch [28/30], Train Loss: 0.2564, Val Loss: 0.2413
Epoch [29/30], Train Loss: 0.2514, Val Loss: 0.2352
Epoch [30/30], Train Loss: 0.2552, Val Loss: 0.2276
